
  NUMERO_VENTA  FECHA_VENT  TIENDA                                      CLIENTE                          TOTAL_VENTA  TOTAL_PAGADO  DIFERENCIA_PENDIENTE
           382  2026-07-24  Comercial La Estrella Zona 1                Jorge Gonzalez                        712.86        494.34                218.52
           892  2025-11-21  Comercial La Estrella Zacapa                Sofia Gonzalez                        218.09          0.00                218.09
            39  2025-11-28  Comercial La Estrella Puerto Barrios        Manuel Flores                         217.59          0.00                217.59
           503  2026-01-02  Comercial La Estrella Jutiapa               Miguel Garcia                         377.00        163.11                213.89
          1132  2025-02-10  Comercial La Estrella Puerto Barrios        Carlos Mendoza                        213.09          0.00                213.09
           941  2026-08-06  Comercial La Estrella Mixco                 Alejandra Perez                      1042.37        829.86                212.51
          1290  2026-08-13  Comercial La Estrella Santa Ana             Andrea Gonzalez                       314.30        102.41                211.89
           952  2025-10-16  Comercial La Estrella Puerto Barrios        Gabriela Gonzalez                     463.48        252.15                211.33
            79  2025-11-05  Comercial La Estrella Villa Nueva           Alejandra Aguilar                     383.01        172.71                210.30
          1076  2025-05-23  Comercial La Estrella Mazatenango           Andrea Ortiz                          207.80          0.00                207.80
           207  2025-03-16  Comercial La Estrella Mixco                 Lucia Aguilar                         203.96          0.00                203.96
           900  2025-07-02  Comercial La Estrella Zona 1                Andrea Jimenez                        498.40        297.81                200.59
           324  2026-06-08  Comercial La Estrella Zona 1                Ana Aguilar                           831.12        633.55                197.57
           756  2026-03-24  Comercial La Estrella Mazatenango           Andrea Rodriguez                      278.60         95.93                182.67
           442  2025-04-10  Comercial La Estrella Santa Ana             Andrea Diaz                           180.21          0.00                180.21
          1082  2025-04-02  Comercial La Estrella Jutiapa               Ricardo Mendoza                       170.88          0.00                170.88
           868  2025-02-15  Comercial La Estrella Puerto Barrios        Victor Gonzalez                       776.89        611.76                165.13
          1412  2025-12-19  Comercial La Estrella Coatepeque            Karla Mendoza                         164.48          0.00                164.48
           677  2026-08-02  Comercial La Estrella Puerto Barrios        Andrea Cruz                           163.25          0.00                163.25
           691  2025-05-10  Comercial La Estrella Monterrey             Sergio Lopez                          159.31          0.00                159.31
           849  2025-08-25  Comercial La Estrella San Salvador          Maria Chavez                          147.80          0.00                147.80
           346  2025-04-16  Comercial La Estrella Coban                 Vivian Sanchez                        422.76        278.95                143.81
            47  2025-09-20  Comercial La Estrella Escuintla             Luis Ramirez                          131.25          0.00                131.25
           628  2025-01-12  Comercial La Estrella Coban                 Andrea Morales                        186.32         55.70                130.62
          1254  2026-04-05  Comercial La Estrella Jutiapa               Estuardo Mendoza                      219.55         90.45                129.10
          1420  2025-09-07  Comercial La Estrella Monterrey             Silvia Vasquez                        196.20         79.80                116.40
          1247  2025-01-12  Comercial La Estrella Santa Ana             Jose Morales                          108.29          0.00                108.29
          1279  2026-06-01  Comercial La Estrella Puerto Barrios        Pedro Martinez                        107.55          0.00                107.55
           236  2025-07-04  Comercial La Estrella San Salvador          Miguel Mendoza                        105.95          0.00                105.95
           614  2025-08-15  Comercial La Estrella Antigua               Jose Aguilar                          231.90        128.12                103.78
          1120  2026-06-13  Comercial La Estrella Jutiapa               Roberto Ramirez                       102.56          0.00                102.56
           996  2026-04-03  Comercial La Estrella Coatepeque            Silvia Vasquez                        244.34        148.51                 95.83
          1270  2025-11-02  Comercial La Estrella Mixco                 Vivian Sanchez                        160.46         66.90                 93.56
          1244  2025-05-22  Comercial La Estrella Peten                 Jorge Reyes                           160.47         68.10                 92.37
           230  2026-01-23  Comercial La Estrella Guadalajara           Paola Castillo                         91.12          0.00                 91.12
           494  2025-08-26  Comercial La Estrella Monterrey             Luis Lopez                            136.35         57.32                 79.03
           829  2025-01-01  Comercial La Estrella Chimaltenango         Miguel Chavez                          73.86          0.00                 73.86
           625  2026-06-05  Comercial La Estrella Chimaltenango         Paola Mendoza                          71.45          0.00                 71.45
          1139  2026-01-08  Comercial La Estrella Zacapa                Sofia Reyes                            71.33          0.00                 71.33
           968  2025-05-17  Comercial La Estrella Puerto Barrios        Rosa Perez                            284.12        215.03                 69.09
           962  2025-01-29  Comercial La Estrella Chimaltenango         Roberto Ramirez                       264.85        199.81                 65.04
          1361  2026-02-08  Comercial La Estrella Coatepeque            Miguel Flores                         173.74        118.81                 54.93
           540  2025-02-19  Comercial La Estrella Mixco                 Fernando Jimenez                       52.77          0.00                 52.77
           433  2025-08-18  Comercial La Estrella Puerto Barrios        Jose Morales                          120.15         70.81                 49.34
           965  2025-08-17  Comercial La Estrella Xela                  Ricardo Sanchez                        41.43          0.00                 41.43
           509  2025-06-30  Comercial La Estrella Coatepeque            Sofia Martinez                        142.92        102.81                 40.11
           913  2025-01-14  Comercial La Estrella Monterrey             Silvia Vasquez                         92.92         55.44                 37.48
           132  2025-10-18  Comercial La Estrella Puerto Barrios        Pedro Martinez                         47.14          9.89                 37.25
           404  2025-03-07  Comercial La Estrella Peten                 Luis Rodriguez                        141.00        104.05                 36.95
           249  2026-07-26  Comercial La Estrella Guadalajara           Vivian Ramirez                         62.26         26.51                 35.75
           723  2026-08-02  Comercial La Estrella Xela                  Laura Chavez                          152.84        118.16                 34.68
           300  2025-09-06  Comercial La Estrella Ciudad de Mexico      Monica Aguilar                        144.64        110.09                 34.55
           724  2026-03-14  Comercial La Estrella Zacapa                Miguel Flores                          63.42         33.64                 29.78
          1027  2025-09-04  Comercial La Estrella Antigua               Ana Flores                             26.32          0.00                 26.32
           872  2025-05-10  Comercial La Estrella Peten                 Julio Flores                           24.00          0.00                 24.00
          1188  2025-07-01  Comercial La Estrella Xela                  Alejandra Cruz                         21.75          0.00                 21.75
           669  2026-03-21  Comercial La Estrella Monterrey             Luis Rodriguez                         17.08          0.00                 17.08
          1191  2025-11-06  Comercial La Estrella Villa Nueva           Alejandra Perez                        16.92          0.00                 16.92
          1039  2025-09-24  Comercial La Estrella Zacapa                Vivian Sanchez                         26.02         13.58                 12.44
           178  2025-03-08  Comercial La Estrella Huehuetenango         Mario Ortiz                            32.51         22.60                  9.91
          1430  2025-10-26  Comercial La Estrella Peten                 Laura Martinez                         13.53          7.98                  5.55
          1036  2026-02-24  Comercial La Estrella Coban                 Lucia Diaz                              5.19          3.12                  2.07

342 rows selected.

